,avg,each,fold,nModels,ntree,tc
246,0.6394945195925829,0.6553935888907834,1,6,800,4
247,0.6399260894061047,0.656203690714116,1,6,850,4
248,0.6402834956315187,0.6571259674196611,1,6,900,4
249,0.6411305668998611,0.6582453395007499,1,6,950,4
250,0.6455810223564915,0.6593057960299243,1,7,500,4
251,0.6431165427710335,0.6573120075414388,1,7,550,4
252,0.6412905682707915,0.655746731075818,1,7,600,4
253,0.63997136370211,0.654880357500278,1,7,650,4
254,0.6391194433224201,0.6546840940573617,1,7,700,4
255,0.638721526120226,0.6540323817786216,1,7,750,4
256,0.6387487284631334,0.6545437339944616,1,7,800,4
257,0.6391997884375741,0.6554896868968342,1,7,850,4
258,0.6396282069779549,0.6565912229391482,1,7,900,4
259,0.6404684952138565,0.6577837927189907,1,7,950,4
260,0.6455207356030574,0.6640459358127009,1,8,500,4
261,0.6430097511549254,0.6615105317540353,1,8,550,4
262,0.6413473500388674,0.6611137036463823,1,8,600,4
263,0.6400680242224711,0.6602618871856759,1,8,650,4
264,0.6392711181185298,0.6601780530144261,1,8,700,4
265,0.6388316213520785,0.6596472982904382,1,8,750,4
266,0.6388236788092169,0.6595237603502512,1,8,800,4
267,0.639222093696875,0.6596313556389107,1,8,850,4
268,0.6396483083067774,0.6602844359718673,1,8,900,4
269,0.6404788345621406,0.6611503762177375,1,8,950,4
270,0.6452157289191496,0.662121963024894,1,9,500,4
271,0.6427709836592455,0.660282497473733,1,9,550,4
272,0.6411416853336283,0.6592862972665986,1,9,600,4
273,0.6398407515617954,0.6579862935245873,1,9,650,4
274,0.6390485385605497,0.657779608610657,1,9,700,4
275,0.6385810109743398,0.657547941676225,1,9,750,4
276,0.6385815564909072,0.6574756211515888,1,9,800,4
277,0.6389419216607793,0.6578319580344383,1,9,850,4
278,0.6394059955160185,0.6588881571587791,1,9,900,4
279,0.6402812748903567,0.660277753807314,1,9,950,4
280,0.645060592566847,0.6628525059029376,1,10,500,4
281,0.6425456122209817,0.6601384004554031,1,10,550,4
282,0.6409230322063557,0.6586194974286933,1,10,600,4
283,0.6396722131272956,0.6580009517076818,1,10,650,4
284,0.638861710539724,0.6575402153323832,1,10,700,4
285,0.6384104889007284,0.6575024165241801,1,10,750,4
286,0.6383763465145648,0.6574123199965065,1,10,800,4
287,0.6387557892354088,0.6580553474867711,1,10,850,4
288,0.6392754194662255,0.6591612462072387,1,10,900,4
289,0.6401374054916313,0.660148445724725,1,10,950,4
290,0.6723959587376958,0.6723959530769018,1,1,300,5
